radio,mcc,mnc,lac_tac,cid,psc_pci,lon,lat,range,samples,changeable,created,updated,avg_signal,operator,tech
LTE,272,3,40121,10859542,-1,-8.5278,52.677,8058,13,1,1694793919,1744142582,0,Eir,4G
LTE,272,3,40121,10866945,-1,-8.5177,52.7092,4417,2,1,1740840870,1744142582,0,Eir,4G
LTE,272,3,40121,10866955,-1,-8.5256,52.6698,1000,1,1,1740840890,1740840890,0,Eir,4G
LTE,272,3,40121,10866965,-1,-8.5306,52.673,8524,19,1,1694794039,1744142582,0,Eir,4G
LTE,272,3,40121,11031809,-1,-8.5105,52.6868,6877,8,1,1694793999,1744142582,0,Eir,4G
LTE,272,3,40121,11031879,-1,-8.5175,52.6728,1000,10,1,1694793929,1741095073,0,Eir,4G
LTE,272,3,40121,11163669,-1,-8.5256,52.6698,1000,1,1,1740840990,1740840990,0,Eir,4G
LTE,272,3,40121,11169282,-1,-8.5396,52.6841,7448,5,1,1694794159,1744142582,0,Eir,4G
LTE,272,3,40121,11169292,-1,-8.5567,52.6677,1000,1,1,1740840780,1740840780,0,Eir,4G
LTE,272,3,40121,11169301,-1,-8.5506,52.6735,8791,14,1,1694794169,1744142582,0,Eir,4G
LTE,272,3,40121,11213827,-1,-8.5097,52.7486,1000,1,1,1741956746,1741956746,0,Eir,4G
LTE,272,3,40121,11441923,-1,-8.5008,52.6935,6160,15,1,1694793839,1744142582,0,Eir,4G
LTE,272,3,40121,11441993,-1,-8.5014,52.6863,2454,12,1,1694793849,1741095073,0,Eir,4G
LTE,272,3,42306,810247,-1,-8.5096,52.7488,1000,1,1,1742066228,1742066228,0,Eir,4G
LTE,272,5,42001,1510656,-1,-8.4829,52.6213,1057,30,1,1759804098,1762605963,0,Three,4G
LTE,272,5,42001,1510657,-1,-8.4231,52.5982,1091,39,1,1759803878,1762605963,0,Three,4G
LTE,272,5,42001,1510662,-1,-8.4975,52.6418,1515,22,1,1759804138,1759833783,0,Three,4G
LTE,272,5,42001,1510663,-1,-8.4105,52.5934,1672,26,1,1759803778,1762605963,0,Three,4G
LTE,272,5,42001,1510676,-1,-8.4444,52.6078,956,28,1,1759803918,1762605963,0,Three,4G
