PDID,AUTH,PUYR,TITL,DOWN,PUBL,PAGE,DDSC
EU025,"Anonymous, G.",2013,Various soil data for Europe,Countries,ESDAC,,http://www.isric.org
WI112,Various authors,1999,"Mitt. Deutschen Bodenkundlichen Gesellschaft   Vols 17,24,46,49,51,56 and 70",XXX,German Society of Soil Science.,,http://www.isric.org
WI121,"Bullock, P Murphy, CP",1981,International Working Meeting Soil Micromorphology Excursion Guide through England & Wales.(2 Vols),YYY,"Soil Survey of England and Wales, Harpenden",,http://www.isric.org
WI122,ISRIC & FAO,1997,SOTER database for Central and Eastern Europe (SOVEUR ver. 1.0),ZZZ,"FAO Land and Water Media Series CD ROM No. 10 (see: also xx_CEU, where XX is ISO country code)",,http://www.isric.org
