ISOCSUID,ISOC,SUID,DATE,MAPI,MNEL,MXEL,MDEL,SLOP,RELI,PODD,LNDF,RSLO,HYPS,LITHL,LITH1,LITH2,LITH3,LITH4,LITH5,WATE
CZ651,CZ,651,2011-01-01,CEU01,269,518,373,7,55,,LD,U0,E6,UT2E,C,CC,,,,0.0
CZ698,CZ,698,2011-01-01,CEU01,147,640,384,11,84,,SE,R0,E6,UT2E,C,CS,,,,
CZ715,CZ,715,2011-01-01,CEU01,266,475,352,5,37,,LL,G0,E6,PA1,U,,,,,
CZ791,CZ,791,2011-01-01,CEU01,329,859,485,14,114,,SE,R0,E6,PA1,U,,,,,
CZ797,CZ,797,2011-01-01,CEU01,379,1588,806,19,151,,SV,S0,E7,VP1,C,CS,,,,
CZ804,CZ,804,2011-01-01,CEU01,306,784,497,14,113,,SE,R0,E6,UT2E,C,CS,,,,
CZ815,CZ,815,2011-01-01,CEU01,275,637,455,11,91,,SE,R0,E6,UQ,C,CC,,,,
CZ817,CZ,817,2011-01-01,CEU01,112,813,356,16,130,,SE,S0,E6,SL3,C,CS,,,,
