National_Series_Id,National_Series,Red_Value,Green_Value,Blue_Value,Live
1100WP,Waterpark,255,204,0,DEAD
1120BK,Ballylusky,255,204,0,LIVE
1120BY,Broadway,255,204,0,DEAD
1120CT,Castlebar,255,204,0,DEAD
1120EK,Eskaheen,255,204,0,LIVE
1120KN,Knock,255,204,0,LIVE
1120NBE6,NBE6,255,204,0,DEAD
1120NBE9,NBE9,255,204,0,DEAD
1120RA,Rathmoyle,255,204,0,DEAD
1120UN110,Unnamed_110,255,204,0,DEAD
1120UN16,UNnamed_16,255,204,0,LIVE
1126NI,NewInn,255,204,0,LIVE
1130AM,Ambrosetown,255,204,0,DEAD
1130CC,Curracitty,255,204,0,LIVE
1130CM,Castlemoyle,255,204,0,LIVE
1130DG,Duarrigle,255,204,0,LIVE
1130GT,Glantane,255,204,0,LIVE
1130KC,Knockreagh,255,204,0,LIVE
1130LB,Labadoo,255,204,0,LIVE
1130LO,Loughmuirran,255,204,0,DEAD
1130MF,Musicfield,255,204,0,LIVE
1130MO,Moord,255,204,0,LIVE
1130NBE22,NBE22,255,204,0,DEAD
1130TN,Tooreenbane,255,204,0,LIVE
1130TU,Tullig,255,204,0,DEAD
1130UN17,UNnamed_17,255,204,0,DEAD
1130UN18,Unnamed_18,255,204,0,DEAD
1130UN19,Unnamed_19,255,204,0,DEAD
1130UN52,UNnamed_52,255,204,0,DEAD
1130UN53,Unnamed_53,255,204,0,DEAD
1130UN76,UNnamed_76,255,204,0,DEAD
1130UN77,Unnamed_77,255,204,0,DEAD
1136GV,Gneaves,255,204,0,LIVE
1136KF,Killyfinla,255,204,0,LIVE
1150BC,Ballincurra,255,204,0,LIVE
1150BG,Baggotstown,255,204,0,LIVE
1150BGD,Baggotstown deep variant,255,204,0,DEAD
1150BGH,Baggotstown hummocky phase,255,204,0,DEAD
1150CH,Cullahill,255,204,0,LIVE
1150CN,Coolnaha,255,204,0,LIVE
1150FO,Faoldroim,255,204,0,LIVE
1150KF,Kilfenora,255,204,0,LIVE
1150NBE31,NBE31,255,204,0,DEAD
1150UN05,UNnamed_05,255,204,0,DEAD
1150UN20,Unnamed_20,255,204,0,DEAD
1152UN78,UNnamed_78,255,204,0,DEAD
1153CK,Carnakelly,255,204,0,LIVE
1153FT,Feltrim,255,204,0,LIVE
1153UN54,UN54,255,204,0,DEAD
1156CR,Carroward,255,204,0,LIVE
1156HA,Hundredacres,255,204,0,LIVE
1156KK,Knockaun,255,204,0,LIVE
1159CU,Curragh,255,204,0,DEAD
1160AL,Aille,255,204,0,LIVE
1160AS,Ashgrove,255,204,0,LIVE
1160BB,Bantry Bay,255,204,0,DEAD
1160BH,Blackhill,255,204,0,LIVE
1160BN,Brosna,255,204,0,LIVE
1160CG,Carrigogunnel,255,204,0,LIVE
1160CR,Croghan,255,204,0,DEAD
1160CS,Crossabeagh,255,204,0,LIVE
1160CV,Cloverfield,255,204,0,DEAD
1160DO,Dooaghs,255,204,0,LIVE
1160NBE11,NBE11,255,204,0,DEAD
1160NBE12,NBE12,255,204,0,DEAD
1160NBE13,NBE13,255,204,0,DEAD
1160NBE17,NBE17,255,204,0,LIVE
1160NBE18,NBE18,255,204,0,DEAD
1160RM,Renaghmore,255,204,0,LIVE
1160SH,Schull,255,204,0,LIVE
1160SHY,Schull Rocky Variant ,255,204,0,DEAD
1160UN72,UNnamed_72,255,204,0,DEAD
1160UN73,UNnamed_73,255,204,0,DEAD
1160UN74,UNnamed_74,255,204,0,DEAD
1160WO,Wonderhill,255,204,0,LIVE
1190AR,Ardmore,255,204,0,DEAD
1190CMA,Clashmore anthropic,255,204,0,LIVE
1196ASA,Ashgrove anthropic,255,204,0,LIVE
1196SHP,Schull Plaggen,255,204,0,DEAD
1196SHV,Schull variant,255,204,0,DEAD
