National_Series_Id,National_Series,Red_Value,Green_Value,Blue_Value,Live
0572MP,Milltownpass,0,204,255,DEAD
0572RY,Rearymore,0,204,255,DEAD
0572UN13,UNnamed_13,0,204,255,DEAD
0572UN62,UNnamed_62,0,204,255,DEAD
0600BC,Ballyknock,204,153,255,DEAD
0600BM,Belmullet,204,153,255,DEAD
0600BN,Ballinruan,204,153,255,DEAD
0600GH,Garryhinch Series 2,204,153,255,DEAD
0600GL,Glandine,204,153,255,LIVE
0600KO,Knockroe,204,153,255,LIVE
0600KP,Kilpierce,204,153,255,LIVE
0600LG,Lissagriffin,204,153,255,LIVE
0600NGG1,NGG1,204,153,255,DEAD
0600NGG3,NGG3,204,153,255,DEAD
0600SBN,Slieve Bloom non Peaty Phase,204,153,255,DEAD
0600SN,Sellernaun,204,153,255,DEAD
0600TN,Trean,204,153,255,DEAD
0600UN10,UNnamed_10,204,153,255,DEAD
0600UN43,UNnamed_43,204,153,255,DEAD
0610AG,Annagh,204,153,255,LIVE
0610DN,Derrynasaggart,204,153,255,LIVE
0630GE,Greenane,204,153,255,LIVE
0630HT,Heathtown,204,153,255,LIVE
0636BR,Bree,204,153,255,LIVE
0636CL,Corlea,204,153,255,LIVE
0650ATP,Athy Poorly Drained,204,153,255,DEAD
0650AX,Allenwood Complex,204,153,255,DEAD
0650CK,Clonlisk,204,153,255,DEAD
0650CS,Clonaslee,204,153,255,LIVE
0650DW,Dunnstown,204,153,255,DEAD
0650GH,Garryhinch Series 1,204,153,255,DEAD
0650KL,Kilpatrick,204,153,255,DEAD
0650MN,Mountrath,204,153,255,DEAD
0650MT,Mylerstown,204,153,255,LIVE
0650MTI,Mylerstown imperfectly drained phase,204,153,255,DEAD
0650PT,Painestown ,204,153,255,DEAD
0650UN45,UNnamed_45,204,153,255,DEAD
0650UN46,UNnamed_46,204,153,255,DEAD
0651CL,Cloonmore,204,153,255,LIVE
0656AQ,Attyquin,204,153,255,DEAD
0656BS,Ballyshear,204,153,255,LIVE
0656BT,Ballintemple,204,153,255,LIVE
