National_Series_Id,National_Series,Modern_Definition,Texture,Substrate_Type,Substrate_1,Substrate_2,Subgroup_Name,GreatGroup_Name,Red_Value,Green_Value,Blue_Value,PhotoArray,Live,Modern_Correlative_Code,Modern_Correlative_Name,RepProfileCount,series_id
0310CL,Castletaylor,Loamy over limestone bedrock,Loamy,over limestone bedrock,bedrock,limestone,Histic Rendzinas,Rendzina,255,255,0,"['RPM41BR01_P1100374.JPG', 'RPM41BR01_P1100380.JPG']",LIVE,0310CL,Castletaylor,1,0310CL
0360BU,Burren,Fine loamy over limestone bedrock,Fine loamy,over limestone bedrock,bedrock,limestone,Humic Rendzinas,Rendzina,255,255,0,[],LIVE,0360BU,Burren,1,0360BU
0360CS,Crush,Coarse loamy over calcareous gravels,Coarse loamy,over calcareous gravels,bedrock,calcareous gravels,Humic Rendzinas,Rendzina,255,255,0,"['RPM52BR02_P1100346.JPG', 'RPM52BR02_P1100351.JPG']",LIVE,0360CS,Crush,1,0360CS
0400AH,Altahalla,Loamy over lithoskeletal gneiss and schist,Loamy,over lithoskeletal gneiss and schist,bedrock,gneiss and schist,Typical Lithosols,Lithosol,153,51,0,['RPC34BR01_P1090876.JPG'],LIVE,0400AH,Altahalla,1,0400AH
0400CC,Cappacorcoge,Loamy over non-calcareous gravels,Loamy,over non-calcareous gravels,bedrock,non-calcareous gravels,Typical Lithosols,Lithosol,153,51,0,"['RPM15BR01_P1100382.JPG', 'RPM15BR01_P1100385.JPG']",LIVE,0400CC,Cappacorcoge,1,0400CC
0400CT,Castletown,Decalcified loamy over lithoskeletal limestone,Loamy,over lithoskeletal limestone,bedrock,limestone,Typical Lithosols,Lithosol,153,51,0,"['RPM15BR02_P1100409.JPG', 'RPM15BR02_P1100415.JPG']",LIVE,0400CT,Castletown,1,0400CT
0400FG,Figar,Loamy over sandstone bedrock,Loamy,over sandstone bedrock,bedrock,sandstone,Typical Lithosols,Lithosol,153,51,0,"['RPC03BR01_P1090890.JPG', 'RPC03BR01_P1090898.JPG']",LIVE,0400FG,Figar,1,0400FG
0400GL,Glenlane,Loamy over shale bedrock,Loamy,over shale bedrock,bedrock,shale,Typical Lithosols,Lithosol,153,51,0,"['RPC42BR04_P1090872.JPG', 'RPC42BR04_P1090875.JPG', 'RPJ00BR01_P1030014.JPG', 'RPJ00BR01_P1030018.JPG', 'RPQ50GJ01_DSCN0689.JPG', 'RPQ50GJ01_DSCN0705.JPG', 'RPS23RC24_P1020962.JPG', 'RPS23RC24_P1020964.JPG', 'RPW98OS01_P1030416.JPG', 'RPW98OS01_P1030417.JPG']",LIVE,0400GL,Glenlane,1,0400GL
0410BA,Bantry,Peat over sandstone and shale bedrock,Peat,sandstone and shale bedrock,bedrock,sandstone and shale,Histic Lithosols,Lithosol,153,51,0,"['RPR02BR01_P1030075.JPG', 'RPR02BR01_P1030078.JPG']",LIVE,0410BA,Bantry,1,0410BA
0410BT,Ballintroohan,Peat over lithoskeletal gneiss and schist,Peat,over lithoskeletal gneiss and schist,bedrock,gneiss and schist,Histic Lithosols,Lithosol,153,51,0,"['RPC64BR02_P1090884.JPG', 'RPC64BR02_P1090888.JPG']",LIVE,0410BT,Ballintroohan,1,0410BT
0410CV,Carrigvahanagh,Peat over lithoskeletal acid igneous rock,Peat,over lithoskeletal acid igneous rock,bedrock,acid igneous,Histic Lithosols,Lithosol,153,51,0,"['RPO21BR01_P1020840.JPG', 'RPO21BR01_P1020843.JPG']",LIVE,0410CV,Carrigvahanagh,1,0410CV
0460KK,Kilkieran,Loamy over lithoskeletal acid and basic igneous bedrock,Loamy,over lithoskeletal acid and basic igneous bedrock,bedrock,acid and basic igneous,Humic Lithosols,Lithosol,153,51,0,"['RPL83BR01_P1100308.JPG', 'RPL83BR01_P1100310.JPG']",LIVE,0460KK,Kilkieran,1,0460KK
0460KW,Knockshigowna,Loamy over lithoskeletal shale and slate bedrock,Loamy,over lithoskeletal shale and slate bedrock,bedrock,shale and slate,Humic Lithosols,Lithosol,153,51,0,"['RPW57BR01_P1030402.JPG', 'RPW57BR01_P1030406.JPG']",LIVE,0460KW,Knockshigowna,1,0460KW
0460KY,Knockeyon,Loamy over lithoskeletal sandstone ,Loamy,over lithoskeletal sandstone ,bedrock,sandstone,Humic Lithosols,Lithosol,153,51,0,"['RPQ40BR01_P1030138.JPG', 'RPQ40BR01_P1030142.JPG']",LIVE,0460KY,Knockeyon,1,0460KY
