Association_Unit,Association_Symbol,Association_Name,Texture_Substrate_Type,SeriesArray,Red_Value,Green_Value,Blue_Value
0600a,600a,Kilpierce,Fine loamy drift with siliceous stones,"{'Rank': 1, 'National_Series_Id': '0600KP', 'National_Series': 'Kilpierce', 'Modern_Definition': 'Fine loamy drift with siliceous stones', 'Texture': 'Fine loamy', 'Substrate_Type': 'drift with siliceous stones', 'Substrate_1': 'drift', 'Substrate_2': 'siliceous stones', 'Subgroup_Name': 'Typical Groundwater Gleys', 'GreatGroup_Name': 'Groundwater Gley', 'PhotoArray': []}",232,190,255
0600a,600a,Kilpierce,Fine loamy drift with siliceous stones,"{'Rank': 2, 'National_Series_Id': '1100CL', 'National_Series': 'Clonroche', 'Modern_Definition': 'Fine loamy drift with siliceous stones', 'Texture': 'Fine loamy', 'Substrate_Type': 'drift with siliceous stones', 'Substrate_1': 'drift', 'Substrate_2': 'siliceous stones', 'Subgroup_Name': 'Typical Brown Earths', 'GreatGroup_Name': 'Brown Earth', 'PhotoArray': ['RPS53BR01_P1100269.JPG', 'RPS53BR01_P1100280.JPG', 'RPS62RC04_P1020826.JPG', 'RPT08BR02_P1020729.JPG', 'RPT08BR02_P1020734.JPG', 'RPT17BR01_P1020737.JPG', 'RPT17BR01_P1020745.JPG']}",232,190,255
0600a,600a,Kilpierce,Fine loamy drift with siliceous stones,"{'Rank': 3, 'National_Series_Id': '0700KR', 'National_Series': 'Kilrush', 'Modern_Definition': 'Fine loamy drift with siliceous stones', 'Texture': 'Fine loamy', 'Substrate_Type': 'drift with siliceous stones', 'Substrate_1': 'drift', 'Substrate_2': 'siliceous stones', 'Subgroup_Name': 'Typical Surface-water Gleys', 'GreatGroup_Name': 'Surface Water Gley', 'PhotoArray': ['RPH50GJ01_P1011052.jpg', 'RPH50GJ01_P1011072.jpg', 'RPH61GJ01_DSCN0236.JPG', 'RPH61GJ01_DSCN0253.JPG', 'RPH61GJ03_DSCN0274.JPG', 'RPH61GJ03_DSCN0276.JPG', 'RPM99GJ03_DSCN0483.JPG', 'RPM99GJ03_DSCN0506.JPG', 'RPO25BR01_P1020898.JPG', 'RPO25BR01_P1020902.JPG', 'RPQ72GJ01_DSCN0834.JPG', 'RPQ72GJ01_DSCN0848.JPG', 'RPQ90GJ02_DSCN0911.JPG', 'RPQ90GJ02_DSCN0927.JPG', 'RPR00GJ01_DSCN0978.JPG', 'RPR00GJ01_DSCN0990.JPG', 'RPS24RC21_P1020952.JPG', 'RPS24RC22_P1080357.JPG', 'RPS24RC22_P1080361.JPG', 'RPW48GJ01_P1030958.JPG', 'RPW48GJ01_P1030967.JPG']}",232,190,255
0600a,600a,Kilpierce,Fine loamy drift with siliceous stones,"{'Rank': 4, 'National_Series_Id': '1020JH', 'National_Series': 'Johnstown', 'Modern_Definition': 'Coarse loamy drift with siliceous stones', 'Texture': 'Coarse loamy', 'Substrate_Type': 'drift with siliceous stones', 'Substrate_1': 'drift', 'Substrate_2': 'siliceous stones', 'Subgroup_Name': 'Gleyic Luvisols', 'GreatGroup_Name': 'Luvisol', 'PhotoArray': []}",232,190,255
0600a,600a,Kilpierce,Fine loamy drift with siliceous stones,"{'Rank': 5, 'National_Series_Id': '1020CB', 'National_Series': 'Crossabeg', 'Modern_Definition': 'Fine loamy drift with siliceous stones', 'Texture': 'Fine loamy', 'Substrate_Type': 'drift with siliceous stones', 'Substrate_1': 'drift', 'Substrate_2': 'siliceous stones', 'Subgroup_Name': 'Gleyic Luvisols', 'GreatGroup_Name': 'Luvisol', 'PhotoArray': []}",232,190,255
